"","site","round","sample_pt","sample_id","sampledImp","julian_date","subsite","lat","long","impatiens_abundance","rufocinctus_abundance","californicus_abundance","vos_abundance","flavifrons_abundance","mixtus_abundance","bombus_shannon_diversity","floral_diversity","floral_abundance","prop_blueberry","prop_edge","landscape_shdi","barcode_id","final_id","apidae","apicystis","ascosphaera","nbombii","nceranae","crithidiaspp","cbombii","cexpoeki","caste","hascrithidia","hasnosema","any_parasite","native_bee_abundance","weighted_z_mix","weighted_z_imp","weighted_z_flav","weighted_z_rufo","weighted_z_cal","weighted_z_vos","adjusted_julian"
"40","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_01","B. impatiens",1,0,0,0,0,0,0,0,"worker",0,0,0,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"41","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_02","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"42","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_04","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"43","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_07","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"44","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_18","B. impatiens",1,1,0,0,0,0,1,0,"worker",1,0,1,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"45","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_24","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"46","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_08","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"47","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_16","B. impatiens",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,0.242538019971035
"48","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_09","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"49","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_10","B. mixtus",1,0,0,0,0,0,1,0,"worker",1,0,1,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"50","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_12","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"51","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_21","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"52","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_05","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"53","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_06","B. mixtus",1,0,0,0,0,0,0,0,"worker",0,0,0,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"54","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_15","B. mixtus",1,1,0,1,0,0,1,0,"worker",1,1,1,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
"55","SD",8,"SD36","8_SD36",TRUE,216,"southdelta3","49.0597409","-123.0816311",8,0,2,3,0,10,1.2075153250377,0.110100081923397,3.00902574208691,0,0.096709008762844,0.928667423452929,"SD8_36_19","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,15,1.45211573255802,0.242538019971035,3.3400795955332,0.924482121721139,0.718145368265962,0.698313060998044,1.45211573255802
