"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"287","PM",4,"PM51A","4_PM51A",2022,"PM4_51A_01","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_08","B5","y","n","","bcparasite03_G5","pittmeadows3","49.2460018","-122.6559901"
"288","W",7,"W02","7_W02",2022,"W7_02_03","MAMO","B. mixtus","B. mixtus","","mixtus_DNA_05","A5","y","n","","bcparasite03_G6","westham3","49.0898095","-123.1642782"
"289","ED",6,"ED06","6_ED06",2022,"ED6_06_02","CHAN","B. mixtus","B. mixtus","queen","mixtus_DNA_05","D1","y","y","","bcparasite03_G7","eastdelta3","49.0937503","-122.9571174"
"290","PM",4,"PM50","4_PM50",2022,"PM4_50_01","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_07","E6","y","n","","bcparasite03_G8","pittmeadows4","49.2423129","-122.6387496"
"291","ED",6,"ED01","6_ED01",2022,"ED6_01_05","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_08","C10","y","n","","bcparasite03_G9","eastdelta3","49.0954133","-122.9487118"
"292","NR",6,"NR07A","6_NR07A",2022,"NR6_07A_05","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_H1","nicomekl1","49.0896758","-122.7593916"
"293","W",6,"W17","6_W17",2022,"W6_17_02","LYSA","B. mixtus","B. mixtus","","mixtus_DNA_08","A6","y","y","","bcparasite03_H11","westham4","49.0785706","-123.1520317"
"294","HR",3,"HR12","3_HR12",2022,"HR3_12_09","VICR","B. mixtus","B. mixtus","","mixtus_DNA_08","H1","y","n","","bcparasite03_H12","harvieroad2","49.1590772","-122.7236265"
"295","ED",6,"ED28A","6_ED28A",2022,"ED6_28A_07","VICR","B. mixtus","B. mixtus","","mixtus_DNA_05","E4","y","n","","bcparasite03_H2","eastdelta1","49.1007889","-122.9346452"
"296","HR",6,"HR07A","6_HR07A",2022,"HR6_07A_02","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_08","A8","y","n","","bcparasite03_H3","harvieroad3","49.1534589","-122.7224307"
"297","PM",9,"PM61","9_PM61",2022,"PM9_61_04","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_08","B6","y","n","","bcparasite03_H5","pittmeadows2","49.2545201","-122.6668191"
"298","SD",8,"SD39","8_SD39",2022,"SD8_39_11","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_03","A5","y","n","","bcparasite03_H6","southdelta2","49.0682854","-123.0740915"
"299","SD",6,"SD36","6_SD36",2022,"SD6_36_18","VICR","B. mixtus","B. mixtus","","mixtus_DNA_07","C8","y","y","","bcparasite03_H7","southdelta3","49.0597409","-123.0816311"
"300","ED",5,"ED10","5_ED10",2022,"ED5_10_01","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_01","B4","y","y","","bcparasite03_H8","eastdelta2","49.1053113","-122.9572629"
"301","SD",5,"SD26","5_SD26",2022,"SD5_26_02","VIVI","B. impatiens","B. impatiens","","impatiens_DNA_08","C11","y","y","","bcparasite03_H9","southdelta4","49.0584528","-123.0671996"
"302","NR",2,"NR43","2_NR43",2022,"NR2_43_13","LUPO","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite04_A1","nicomekl2","49.0834488","-122.776728"
